0,0,856.2
0.01,0.0017434,856.2
0.02,0.0069739,856.2
0.03,0.015693,856.2
0.04,0.027901,856.19
0.05,0.043599,856.19
0.06,0.062788,856.19
0.07,0.085469,856.19
0.08,0.11164,856.19
0.09,0.14131,856.18
0.1,0.17447,856.18
0.11,0.21113,856.17
0.12,0.25129,856.17
0.13,0.29494,856.17
0.14,0.3421,856.16
0.15,0.39275,856.16
0.16,0.4469,856.15
0.17,0.50456,856.14
0.18,0.56571,856.14
0.19,0.63037,856.13
0.2,0.69854,856.12
0.21,0.77021,856.12
0.22,0.84539,856.11
0.23,0.92407,856.1
0.24,1.0063,856.09
0.25,1.092,856.08
0.26,1.1812,856.07
0.27,1.2739,856.06
0.28,1.3701,856.05
0.29,1.4699,856.04
0.3,1.5732,856.03
0.31,1.6799,856.02
0.32,1.7902,856.01
0.33,1.904,855.99
0.34,2.0214,855.98
0.35,2.1422,855.97
0.36,2.2666,855.96
0.37,2.3945,855.94
0.38,2.5259,855.93
0.39,2.6608,855.91
0.4,2.7993,855.9
0.41,2.9412,855.88
0.42,3.0867,855.87
0.43,3.2358,855.85
0.44,3.3883,855.84
0.45,3.5444,855.82
0.46,3.704,855.8
0.47,3.8672,855.79
0.48,4.0338,855.77
0.49,4.204,855.75
0.5,4.3778,855.73
0.51,4.5551,855.71
0.52,4.7359,855.69
0.53,4.9202,855.67
0.54,5.1081,855.65
0.555,5.3965,855.62
0.5775,5.8441,855.58
0.61125,6.5492,855.5
0.66125,7.6678,855.38
0.71125,8.8751,855.25
0.76125,10.171,855.12
0.81125,11.556,854.97
0.86125,13.03,854.81
0.91125,14.593,854.64
0.96125,16.246,854.47
1.0113,17.987,854.28
1.0613,19.819,854.09
1.1113,21.739,853.88
1.1613,23.75,853.67
1.2113,25.85,853.45
1.2613,28.04,853.21
1.3113,30.319,852.97
1.3613,32.689,852.72
1.4113,35.149,852.46
1.4613,37.7,852.19
1.5113,40.34,851.91
1.5613,43.071,851.62
1.6113,45.892,851.32
1.6613,48.804,851.01
1.7113,51.807,850.69
1.7613,54.9,850.36
1.8113,58.084,850.02
1.8613,61.359,849.67
1.9113,64.725,849.31
1.9613,68.181,848.94
2.0113,71.729,848.57
2.0613,75.367,848.18
2.1113,79.097,847.78
2.1613,82.918,847.38
2.2113,86.83,846.96
2.2613,90.834,846.54
2.3113,94.928,846.1
2.3612,99.114,845.65
2.4112,103.39,845.22
2.4612,107.76,844.77
2.5112,112.22,844.32
2.5612,116.77,843.86
2.6112,121.42,843.39
2.6612,126.15,842.91
2.7112,130.98,842.42
2.7612,135.9,841.93
2.8112,140.92,841.42
2.8612,146.02,840.9
2.9112,151.22,840.38
2.9612,156.51,839.84
3.0112,161.89,839.3
3.0612,167.36,838.74
3.1112,172.93,838.18
3.1612,178.59,837.61
3.2112,184.35,837.02
3.2612,190.19,836.43
3.3112,196.13,835.83
3.3612,202.17,835.22
3.4112,208.3,834.6
3.4612,214.52,833.97
3.5112,220.83,833.33
3.5612,227.24,832.68
3.6112,233.74,832.02
3.6612,240.33,831.36
3.7112,247.02,830.68
3.7612,253.8,829.99
3.8112,260.68,829.3
3.8612,267.65,828.59
3.9112,274.71,827.88
3.9612,281.87,827.15
4.0112,289.12,826.42
4.0612,296.46,825.67
4.1112,303.9,824.92
4.1612,311.43,824.16
4.2112,319.06,823.39
4.2612,326.78,822.61
4.3112,334.59,821.82
4.3612,342.5,821.02
4.4112,350.5,820.21
4.4612,358.6,819.39
4.5112,366.79,818.56
4.5612,375.07,817.72
4.6112,383.45,816.87
4.6612,391.92,816.01
4.7112,400.49,815.15
4.7612,409.16,814.27
4.8112,417.91,813.38
4.8612,426.77,812.49
4.9112,435.71,811.58
4.9612,444.76,810.67
5.0112,453.89,809.74
5.0612,463.12,808.81
5.1112,472.45,807.86
5.1612,481.87,806.91
5.2112,491.38,805.95
5.2612,500.99,804.97
5.3112,510.7,803.99
5.3612,520.5,803
5.4112,530.39,802
5.4612,540.38,800.99
5.5112,550.46,799.97
5.5612,560.64,798.94
5.6112,570.91,797.9
5.6612,581.28,796.85
5.7112,591.74,795.79
5.7612,602.3,794.73
5.8112,612.95,793.71
5.8612,623.7,792.67
5.9112,634.54,791.63
5.9612,645.48,790.57
6.0112,656.51,789.51
6.0612,667.64,788.44
6.1112,678.86,787.36
6.1612,690.18,786.27
6.2112,701.59,785.17
6.2612,713.09,784.07
6.3112,724.69,782.95
6.3612,736.39,781.82
6.4112,748.18,780.69
6.4612,760.06,779.55
6.5112,772.04,778.39
6.5612,784.11,777.23
6.6112,796.28,776.06
6.6612,808.54,774.88
6.7112,820.9,773.69
6.7612,833.35,772.49
6.8112,845.9,771.28
6.8612,858.54,770.07
6.9112,871.28,768.84
6.9612,884.1,767.61
7.0112,897.03,766.36
7.0612,910.05,765.11
7.1112,923.16,763.85
7.1612,936.36,762.58
7.2112,949.66,761.3
7.2612,963.06,760.01
7.3112,976.55,758.71
7.3612,990.13,757.4
7.4112,1003.8,756.08
7.4612,1017.6,754.76
7.5112,1031.4,753.42
7.5612,1045.4,752.08
7.6112,1059.4,750.73
7.6612,1073.6,749.37
7.7112,1087.8,748
7.7612,1102.2,746.63
7.8112,1116.6,745.31
7.8612,1131.1,743.98
7.9112,1145.7,742.64
7.9612,1160.4,741.3
8.0112,1175.2,739.95
8.0612,1190.1,738.58
8.1112,1205.1,737.21
8.1612,1220.1,735.83
8.2112,1235.3,734.45
8.2612,1250.6,733.05
8.3112,1265.9,731.65
8.3612,1281.4,730.24
8.4112,1296.9,728.81
